Aviso;Clase de aviso;Ubicac.técnica;Denominación;Descripción;Fecha de aviso;Hora del aviso;Código averia;TextoCódProblem;Falla de Equipo;Repercusión;Inicio avería;Hora in.avería;Fin de avería;Hora fin avería;Duración falla;Cód.parte obj.;TextoCódPartObj;Causas avería;Txt. cód. mot.;Status sistema;Status usuario;Orden;Fecha de cierre;Ce.emplazam.
10014968;M2;DAL-QN-COAG-Z2441;Recolector de cuajada (TT7);falla en el hopper;20/10/2021;13:52:45;PIN;Paro inesperado;X;2;20/10/2021;1:52:45 p. m.;20/10/2021;2:30:00 p. m.;0,62;ZOT;Otro;DES;Deterioro esperado;METR ORAS;CREA RTEM;10033819;;CEGD
10014964;M2;DAL-QN-EMPA-PK2510;Empacadora de vacío;no sella;20/10/2021;6:41:10;NHV;No hace vacío;;3;20/10/2021;6:41:10 a. m.;;12:00:00 a. m.;0,00;;;;;METR ORAS;CREA;10033815;;CEGD
10014965;M2;COL-PC-FLEX;Llenaje de flexibles;cambio de formato en sala de embalaje;20/10/2021;9:17:07;ZOT;Otro síntoma;;1;20/10/2021;9:17:07 a. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014969;M2;COL-SV-ELEC-GM9602;Motor de generador G9602;Servicio y cambio de aceite de motor;20/10/2021;15:01:47;SCA;Sobrecalentamiento;;1;14/10/2021;7:01:47 a. m.;14/10/2021;12:00:00 p. m.;0,00;RLU;Reservorio de lubricante;DES;Deterioro esperado;METR ORAS;CREA;10033817;;CEGS
10014967;M2;COL-PC-FLEX-Z3120B;Agrupador enfardador B;problema de arrastre de foil;20/10/2021;14:09:46;FRO;Fardo roto;;2;20/10/2021;2:09:46 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014966;M2;PAR-MS-PREP-TM1100;Micromezclador de núcleos;PICADOR TRANCADO;20/10/2021;9:49:15;TRA;Trancamiento;X;3;13/10/2021;2:43:00 p. m.;;12:00:00 a. m.;0,00;ROD;Rodamiento;ZOT;Otra;METR ORAS;CREA;10033839;;CEPF
10014957;M1;COL-AX-EDIF-ED8012;Edificio dilución cuarto frío;Iluminacion deficiente del area de la ca;19/10/2021;9:38:08;FIL;Falla de iluminación;;;15/10/2021;9:39:44 a. m.;15/10/2021;12:00:00 p. m.;0,00;ZOT;Otro;DES;Deterioro esperado;METR ORAS;CREA;10033806;;CEGS
10014956;M1;COL-MQ-MENV-CD5160B;Codificadora de politos (mantequilla);Servicio y limpieza de reseñador hitachi;19/10/2021;9:33:13;PMS;Problemas menores de servicio;;;11/10/2021;9:34:47 a. m.;11/10/2021;3:00:00 p. m.;0,00;ZOT;Otro;DES;Deterioro esperado;METR ORAS;CREA;10033805;;CEGS
10014963;M2;DAL-QP-EMPA-HN1341C;Horno C de retracción de etiqueta;falla en horno 3;19/10/2021;15:39:02;PIN;Paro inesperado;X;2;19/10/2021;3:39:02 p. m.;19/10/2021;5:30:00 p. m.;1,85;ATR;Aislamiento térmico;MIN;Mantenimiento inadecuado;METR ORAS;CREA;10033811;;CEGD
10014958;M2;DAL-LD-STER-P4110A5;Bomba de suministro de ácido;falla de succión de bomba acido cip p8;19/10/2021;8:15:29;DES;Deficiencia estructural;X;1;18/10/2021;10:10:00 a. m.;18/10/2021;12:00:00 p. m.;1,83;SEL;Sello;DES;Deterioro esperado;METR ORAS;CREA;10033812;;CEGD
10014959;M2;COL-PC-FLEX;Llenaje de flexibles;Bigotes F.A y F.B.;19/10/2021;14:49:44;ZOT;Otro síntoma;;1;19/10/2021;2:49:44 p. m.;;12:00:00 a. m.;0,00;ZOT;Otro;ZOT;Otra;METR ORAS;CREA;10033809;;CEGS
10014962;M2;COL-PC-FLEX-FL3110A;Llenadora y formadora A de empaques;Ajuste de fotocelula;19/10/2021;14:58:09;ZOT;Otro síntoma;;2;19/10/2021;2:58:09 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014961;M2;COL-PC-FLEX-FL3110A;Llenadora y formadora A de empaques;Ajuste de correas de arrastre F.A.;19/10/2021;14:56:08;ZOT;Otro síntoma;;2;19/10/2021;2:56:08 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014960;M2;COL-PC-FLEX-Z3120A;Agrupador enfardador A;Soporte de transporte Raumak A;19/10/2021;14:52:53;ZOT;Otro síntoma;;2;19/10/2021;2:52:53 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGS
10014953;M2;COL-SV-SREF-PM9420A;Motor de bomba P9420A;No arranca motor no funciona;18/10/2021;11:42:07;NAS;No arranca bajo solicitud;;1;18/10/2021;7:42:07 p. m.;19/10/2021;3:00:00 p. m.;0,00;EST;Estator;CDE;Causa desconocida;METR ORAS;CREA;10033808;;CEGS
10014952;M2;COL-SV-SREF-K9400B;Compresor B de pistón para amoníaco;Fuga de ceite por el sello mecanico;18/10/2021;11:25:07;FEX;Fuga externa;X;1;17/10/2021;10:00:00 a. m.;18/10/2021;3:00:00 p. m.;29,00;SEL;Sello;CDE;Causa desconocida;METR ORAS;CREA;10033779;;CEGS
10014954;M2;PAR-MS-EMPA-CYM1310B;Motor de alimentador B llenadora FL1310B;SONIDO EXTRAÑO EN MOTOR ELECTRICO ALIMEN;18/10/2021;13:12:59;RUI;Ruido anormal;X;1;18/10/2021;1:12:59 p. m.;;12:00:00 a. m.;0,00;ROD;Rodamiento;ZOT;Otra;METR ORAS;CREA;10033780;;CEPF
10014955;M2;PAR-MS-EMPA-FL1310A;Llenadora A de producto 10/30gr (sachet);RODAMIENTOS TRABADOS DEBOBINADOR;18/10/2021;15:29:21;ZOT;Otro;;1;15/10/2021;1:00:00 p. m.;15/10/2021;1:30:00 p. m.;0,00;ROD;Rodamiento;ZOT;Otra;METR ORAS;CREA;10033781;;CEPF
10014951;M2;DAL-SV-SREF-AA9407B;Acondicionador de aire B de cava 7;falla de compresor de cava 7;17/10/2021;12:08:20;ZOT;Otro síntoma;;1;17/10/2021;12:08:20 p. m.;;12:00:00 a. m.;0,00;;;;;MEAB;CREA;;;CEGD
10014949;M2;COL-P1-EDIL-M1200;Máquina descremadora (Frautech);Completar nivel de aceite Frauth;17/10/2021;11:35:46;SCA;Sobrecalentamiento;;1;10/10/2021;9:35:46 a. m.;10/10/2021;11:00:00 a. m.;0,00;ZOT;Otro;DES;Deterioro esperado;METR ORAS;CREA;10033783;;CEGS
10014950;M2;COL-PC-FLEX-FL3110A;Llenadora y formadora A de empaques;Reemplazar correas de fabrima A desgasta;17/10/2021;11:38:20;CRT;Correa rota;;2;18/10/2021;11:38:20 a. m.;18/10/2021;12:00:00 p. m.;0,00;COR;Correa;DES;Deterioro esperado;METR ORAS;CREA;10033810;;CEGS
10014946;M2;DAL-QP-PPRE-FD1150B;Fundidora de queso 500lb (Cocina);FALLA EN COCINA DE 500LB;15/10/2021;14:11:23;FEX;Fuga externa;;1;15/10/2021;2:11:23 p. m.;;12:00:00 a. m.;0,00;TOR;Tornillo;MIN;Mantenimiento inadecuado;METR ORAS;CREA;10033803;;CEGD
10014945;M2;DAL-QP-PPRE-FD1150B;Fundidora de queso 500lb (Cocina);CAMNIO DE FILTRO CULINARIO;15/10/2021;12:55:23;OBS;Obstrucción;;1;15/10/2021;12:55:23 p. m.;;12:00:00 a. m.;0,00;ZOT;Otro;DES;Deterioro esperado;METR ORAS;CREA;10033814;;CEGD
10014947;M2;COL-P1-EVAP-T1320;Tanque de balanceo;Reparar soportes de tuberia;15/10/2021;14:18:48;PME;Problema de medición;;1;12/10/2021;2:18:48 p. m.;12/10/2021;6:00:00 p. m.;0,00;CNX;Conexión;DES;Deterioro esperado;METR ORAS;CREA;10033807;;CEGS
10014940;M2;DAL-SV-STAP-T9500;Pozo de agua cruda;remplazo de empacadura;14/10/2021;11:15:14;ZOT;Otro síntoma;;1;14/10/2021;11:15:14 a. m.;;12:00:00 a. m.;0,00;CNX;Conexión;ZOT;Otra;METR ORAS;CREA;10033726;;CEGD
10014944;M2;COL-P1-EVAP-E1340;Pasteurizador de materia prima;Fuga de vapor por empaque inferior;14/10/2021;17:44:38;FEX;Fuga externa;;1;10/10/2021;7:44:38 a. m.;10/10/2021;6:00:00 p. m.;0,00;ZOT;Otro;CCO;Causas combinadas;METR ORAS;CREA;10033782;;CEGS
10014942;M2;COL-PC-FLEX;Llenaje de flexibles;Cambio de formato en Sala Raumak.;14/10/2021;13:22:25;ZOT;Otro síntoma;;1;14/10/2021;1:22:25 p. m.;14/10/2021;3:00:00 p. m.;0,00;ZOT;Otro;OFD;Operación fuera de diseño;METR ORAS;CREA;10033731;;CEGS
10014941;M2;COL-PC-FLEX-Z3111A;Rechazador A de producto no conforme;Ajuste de fotocelula F.A.;14/10/2021;13:19:03;FOP;Falsa operación;;1;09/10/2021;1:19:03 p. m.;13/10/2021;3:00:00 p. m.;0,00;CCA;Celda de carga;CCO;Causas combinadas;METR ORAS;CREA;10033730;;CEGS
10014943;M2;COL-SV-SREF-KM9400B;Motor de compresor K9400B;Punto caliente en bornera de motor;14/10/2021;15:47:27;PCA;Punto caliente;X;1;14/10/2021;3:47:27 p. m.;14/10/2021;5:30:00 p. m.;1,71;CLD;Cableado;CDE;Causa desconocida;METR ORAS;CREA;10033732;;CEGS
10014938;M3;PAR-MS-EMPA-FL1310D;Llenadora D producto (doypack) 450gr;CUCHILLA NO CORTA;14/10/2021;10:21:16;CDE;Corte defectuoso;;1;14/10/2021;9:00:00 a. m.;14/10/2021;9:30:00 a. m.;0,00;CUC;Cuchilla;DCC;Desajuste de cuchilla;METR;CREA;;;CEPF
10014932;M2;DAL-OP-QANA-FC3250A;Conv. frecuencia motor hiladora ZM3250A;falla del variador;13/10/2021;6:14:00;NAS;No arranca bajo solicitud;X;2;13/10/2021;6:14:00 a. m.;13/10/2021;6:30:00 a. m.;0,27;ZOT;Otro;CIA;Capacidad inadecuada;METR ORAS;CREA;10033785;;CEGD
10014934;M2;DAL-OP-QANA-PLC3201;PLC Fundidoras FD3230A/B;FALLA EN LA PANTALLA;13/10/2021;6:48:25;FFD;Falla de la función bajo demanda;X;3;13/10/2021;6:48:25 a. m.;18/10/2021;9:30:00 a. m.;122,69;ZOT;Otro;MIN;Mantenimiento inadecuado;METR ORAS;CREA;10033802;;CEGD
10014933;M2;DAL-QN-COAG-Z2450A;Torre A formadora bloques queso (T01);Fuga de aire;13/10/2021;6:18:39;FEX;Fuga externa;;2;13/10/2021;6:18:39 a. m.;;12:00:00 a. m.;0,00;CNX;Conexión;DES;Deterioro esperado;METR ORAS;CREA;10033813;;CEGD
10014937;M2;DAL-QP-ENVA-TP1220;Tapadora de vasos;cambiar correa a tapadora;13/10/2021;16:09:05;PMS;Problemas menores de servicio;;1;13/10/2021;4:09:05 p. m.;;12:00:00 a. m.;0,00;CLA;Correa lateral;PTC;Pérdida de tracción en correas laterales;METR ORAS;CREA;10033724;;CEGD
10014935;M2;DAL-QN-COAG-PK2460;Empacadora de vacío;no realiza el vacio adecuadamente;13/10/2021;6:03:54;FFD;Falla de la función bajo demanda;;1;13/10/2021;6:03:54 a. m.;;12:00:00 a. m.;0,00;ZOT;Otro;DES;Deterioro esperado;METR ORAS;CREA;10033828;;CEGD
10014936;M2;COL-PC-FLEX;Llenaje de flexibles;Desmontar y montaje de sin fin F.B.;13/10/2021;8:05:54;ZOT;Otro síntoma;;1;13/10/2021;8:05:54 a. m.;13/10/2021;10:00:00 a. m.;0,00;ZOT;Otro;DES;Deterioro esperado;METR ORAS;CREA;10033729;;CEGS
10014931;M2;COL-SV-SREF-E9440B;Enfriador B agua helada (cuba de hielo);Fuaga de agua helada;12/10/2021;11:58:52;FEX;Fuga externa;;1;12/10/2021;11:58:52 a. m.;12/10/2021;5:00:00 p. m.;0,00;CNX;Conexión;DES;Deterioro esperado;METR ORAS;CREA;10033723;;CEGS
10014930;M2;COL-SV-ELAB-LB9910;Centrífuga;CENTRIFUGA DE INSOLUBILIDAD;12/10/2021;10:44:15;PME;Problema de medición;;1;12/10/2021;10:44:15 a. m.;12/10/2021;1:00:00 p. m.;0,00;ZOT;Otro;CDE;Causa desconocida;METR ORAS;CREA;10033728;;CEGS
10014916;M1;COL-SV-SREF-E9440B;Enfriador B agua helada (cuba de hielo);Fabricar e instalar pasarela para operad;11/10/2021;8:39:25;PMS;Problemas menores de servicio;;;11/10/2021;8:41:43 a. m.;12/10/2021;5:00:00 p. m.;0,00;ESR;Estructura;DES;Deterioro esperado;METR ORAS;CREA;10033706;;CEGS
10014924;M2;DAL-QN-PAST-FC2320;Convert. frec. motor descremadora;Variador Dañado;11/10/2021;11:53:04;NAS;No arranca bajo solicitud;X;2;05/10/2021;11:53:04 a. m.;06/10/2021;1:00:00 p. m.;25,12;ZOT;Otro;EOP;Error operacional;METR ORAS;CREA;10033715;;CEGD
10014925;M2;DAL-QN-RALM-FC2140;Convert. frec. motor clarificadora;EQUIPO SIN VARIADOR CLARIFICADORA;11/10/2021;11:59:47;NAS;No arranca bajo solicitud;;2;11/10/2021;11:59:47 a. m.;;12:00:00 a. m.;0,00;ZOT;Otro;MIN;Mantenimiento inadecuado;METR ORAS;CREA;10033804;;CEGD
10014926;M2;DAL-QP-PPRE-HG1160A;Homogeneizador A para queso fundido;FUGA DE PRODUCTO Homogenizador QP;11/10/2021;12:33:45;FEX;Fuga externa;X;2;01/10/2021;8:30:00 a. m.;01/10/2021;5:30:00 p. m.;9,00;PIS;Pistón;ZOT;Otra;METR ORAS;CREA;10033714;;CEGD
10014922;M2;DAL-QN-MEZC-HG2230;Homogeneizador para mezclas (M5);ROTURA DE EMPAQUE  HOMOGENIZADOR MEZCLA;11/10/2021;11:35:38;BPD;Baja presión de descarga;X;2;05/10/2021;11:35:38 a. m.;06/10/2021;3:00:00 p. m.;27,41;SEL;Sello;DES;Deterioro esperado;METR ORAS;CREA;10033712;;CEGD
10014915;M2;DAL-QN-EMPA-PK2510;Empacadora de vacío;no enciende;11/10/2021;6:09:48;NAS;No arranca bajo solicitud;X;2;11/10/2021;6:09:48 a. m.;18/11/2021;8:00:00 a. m.;913,84;ZOT;Otro;MIN;Mantenimiento inadecuado;METR ORAS;CREA;10033718;;CEGD
10014921;M2;DAL-SV-SREF-BLM9410A2;Motor ventilador 2 condensad. amoníaco A;ruido motor ventillador B condensador A;11/10/2021;11:02:08;RUI;Ruido anormal;;1;07/10/2021;11:02:08 a. m.;;12:00:00 a. m.;0,00;ROD;Rodamiento;DES;Deterioro esperado;METR ORAS;CREA;10033711;;CEGD
10014928;M2;DAL-LD-STER-P4110A5;Bomba de suministro de ácido;FALLA EN DOSIFICADOR DE ÁCIDO ESTERILIZA;11/10/2021;20:53:55;FEX;Fuga externa;;1;11/10/2021;8:53:55 p. m.;;12:00:00 a. m.;0,00;ZOT;Otro;DES;Deterioro esperado;METR ORAS;CREA;10033716;;CEGD
10014927;M2;DAL-LD-ENVA-FL4200A;Llenadora A de producto;Ajust d conector,cambio d orings,anillos;11/10/2021;9:16:11;FEX;Fuga externa;;1;11/10/2021;9:16:11 a. m.;;12:00:00 a. m.;0,00;ZOT;Otra;ZOT;Otra;METR ORAS;CREA;10033717;;CEGD
10014918;M2;COL-P1-SECA-BLM1411;Motor de extractor norte BL1411;Motor no enciende explosion en bornera;11/10/2021;9:50:29;PIN;Paro inesperado;X;3;07/10/2021;4:50:29 a. m.;07/10/2021;7:00:00 p. m.;14,16;EST;Estator;CDE;Causa desconocida;METR ORAS;CREA;10033709;;CEGS
10014919;M2;COL-SV-ELAB-LB9902;Crioscopio;CRIOSCOPIO;11/10/2021;9:59:54;PME;Problema de medición;;1;11/10/2021;9:59:54 a. m.;11/10/2021;12:00:00 p. m.;0,00;ZOT;Otro;CDE;Causa desconocida;METR ORAS;CREA;10033727;;CEGS
10014917;M2;COL-SV-ELEC-GM9609;Motor de generador G9609;Servicio y cambio de aceite;11/10/2021;8:57:42;SCA;Sobrecalentamiento;;1;09/10/2021;8:57:42 a. m.;09/10/2021;12:00:00 p. m.;0,00;RLU;Reservorio de lubricante;DES;Deterioro esperado;METR ORAS;CREA;10033707;;CEGS
10014920;M2;PAR-MS-EMPA-FL1310B;Llenadora B de producto 80/90gr (sachet);TAPA CONICA #2 ROTA;11/10/2021;10:21:38;ZOT;Otro;X;3;07/10/2021;3:00:00 p. m.;;12:00:00 a. m.;0,00;ZOT;Otra;ZOT;Otra;METR ORAS;CREA;10033710;;CEPF
10014914;M2;DAL-QP-PPRE-BD1130B;Mezclador B materia prima (Blender);FUGA DE PROD. MEZCLADOR 1000LB;10/10/2021;17:27:27;FEX;Fuga externa;X;2;01/10/2021;5:27:27 p. m.;02/10/2021;3:00:00 a. m.;9,54;SEL;Sello;DES;Deterioro esperado;METR ORAS;CREA;10033719;;CEGD
10014913;M2;DAL-QP-ENVA-TP1220;Tapadora de vasos;FALLA EN TAPADORA, TAPAS MANCHADAS;10/10/2021;17:25:38;ZOT;Otro;X;3;01/10/2021;10:00:00 a. m.;01/10/2021;1:00:00 p. m.;3,00;CSE;Correa de sellado;ZOT;Otro;METR ORAS;CREA;10033705;;CEGD
10014897;M1;COL-AX-EDIF-ED8008;Edificio de llenaje;Desinstalar lampara deteriorada;09/10/2021;10:26:38;PSE;Problemas de seguridad;;;02/10/2021;10:28:11 a. m.;02/10/2021;3:00:00 p. m.;0,00;ZOT;Otro;EGE;Error de gestión;METR ORAS;CREA;10033692;;CEGS
10014909;M1;COL-SV-ELAB-LB9911;Nevera ejecutiva;Capsulas para humedad;09/10/2021;11:40:35;PMS;Problemas menores de servicio;;;05/10/2021;8:00:00 a. m.;05/10/2021;5:00:00 p. m.;0,00;ZOT;Otro;EGE;Error de gestión;METR ORAS;CREA;10033704;;CEGS
10014903;M2;COL-AX-AUTO-X8007;Montacarga llenaje/embalaje;Nivel de aceite en deposito bajo;09/10/2021;11:13:54;SCA;Sobrecalentamiento;;1;04/10/2021;7:13:54 a. m.;04/10/2021;9:00:00 a. m.;0,00;ZOT;Otro;DES;Deterioro esperado;METR ORAS;CREA;10033698;;CEGS
10014892;M2;COL-AX-EDIF-ED8010;Edificio de producción;Area del tamiz sin iluminacion;09/10/2021;9:42:41;FIL;Falla de iluminación;;1;30/09/2021;3:42:41 p. m.;01/10/2021;3:00:00 p. m.;0,00;ZOT;Otro;DES;Deterioro esperado;METR ORAS;CREA;10033686;;CEGS
10014904;M2;COL-P1-EDIL;Estandarización y Dilución;Fuga de producto por tuberia de crema;09/10/2021;11:18:28;FEX;Fuga externa;;1;07/10/2021;9:00:00 a. m.;07/10/2021;3:00:00 p. m.;0,00;ZOT;Otro;CCO;Causas combinadas;METR ORAS;CREA;10033699;;CEGS
10014896;M2;COL-PC-FLEX-CY3111B3;Transportador 3 salida llenadora FL3110B;Piñon de cadena se traba;09/10/2021;10:22:10;TRA;Trancamiento;;3;02/10/2021;10:22:10 a. m.;02/10/2021;12:00:00 p. m.;0,00;CAD;Cadena;DES;Deterioro esperado;METR ORAS;CREA;10033691;;CEGS
